permit_id,company,contact,address,town,state,phone,permit_year,waste_types,bear_resistant,service_area
2491,802 Clean Out Services LLC,Mike Heath,188 McMullen Rd,Milton,VT,8023387169,2025,HS,No,&nbsp;
2774,802 Dumpster Rental LLC DBA Vermont Dumpster Rentals,Taylor Lovely,112 West Street,Essex Junction,VT,8025039400,2025,S,No,&nbsp;
2276,9063-3314 Quebec Inc.,"Dany Gaucher, President",8970 De La Pointe Du Jour,St-Hyacinthe,QC,4502234262,2025,SR,No,&nbsp;
2275,9106-9971 Quebec Inc.,"Lily Pinard, President",419 Rue Dupont,St-Dominique,QC,450-223-4262,2025,SR,No,&nbsp;
2419,"A&amp;D Excavating, LLC",Dylan Gendron,1036 South Richford Road,Richford,VT,8023702194,2025,R,No,&nbsp;
6,"A.B.L.E. Waste Management, Inc.",Arthur Lynds &amp; Benjamin Lynds,1515 Lynds Hill Road,Plymouth,VT,8026723569,2025,S,Yes,&nbsp;
790,"A.C. Wright, LLC dba Clark-Wright Septic Service",Chad E. Wright,1577 Burpee Road,Bristol,VT,8024533108,2025,R,No,&nbsp;
9,"A-1 Sewer &amp; Drain Service, Inc.",Nick &amp; Jaymie Rudenis,46 Walker Mt. Rd.,No. Clarendon,VT,8024385722,2025,R,No,&nbsp;
559,"A1, Inc.",Erin Scott,28 Cross Road,Clarksburg,MA,413-663-8351,2025,R,No,&nbsp;
2290,Aaron B. Lane dba GIT-R-GONE Rubbish &amp; Recycling,Aaron B. Lane,836 Old Harbour Road,Woodford,VT,8024510727,2025,S,No,&nbsp;
2664,Aaron&#39;s Cleanouts LTD. CO.,Fletcher Loomis,133 Northside Drive,Bennington,VT,8026884797,2025,S,No,&nbsp;
2261,Abanaki Inc.,"Christine Maseroni, President",3036 US Rt 7,Pittsford,VT,8024839900,2025,S,No,&nbsp;
2225,"Absolute Spill Response, LLC",Melissa Audy,21 Metro Way,Barre,VT,8022422011,2025,HS,No,&nbsp;
2172,"Acker Waste Management, LLC",Wade Acker,11 B Liberty St,Bristol,VT,8024536701,2025,S,No,&nbsp;
673,ACSWMD (Addison County Solid Waste Management District),Donald Maglienti,1223 Route 7 S,Middlebury,VT,8023882333,2025,S,No,&nbsp;
612,ACV Environmental Services Inc,Lorena Mercado,928 East Hazelwood Avenue,Rahway,NJ,7323759988,2025,HS,No,&nbsp;
2243,Adam Stone Trucking LLC,"Adam Stone, Owner",211 Martin Road,Williamstown,VT,8024772799,2025,S,No,&nbsp;
2722,"Adams Trucking &amp; Excavating, Inc.",Hayley Cummings,P.O. Box 133,Westminster,VT,8024632213,2025,S,No,&nbsp;
911,Aftermath Services LLC,Michael Vena,"75 Executive Drive, Suite 200",Aurora,IL,630-423-4278,2025,SM,No,&nbsp;
2214,Agri-Cycle Energy LLC,Evan LaPointe,"500 Southborough Drive, Suite 106",South Portland,ME,8008509560,2025,S,No,&nbsp;
2184,Alan Butler dba A &amp; D Trucking,Alan Butler,94 Holy Moly Heights,Irasburg,VT,8027542993,2025,SM,No,&nbsp;
21,Alan Partridge dba Alan Partridge Enterprises,Alan Partridge,1612 Old Cheney Road,Windham,VT,8028747043,2025,S,Unknown,&nbsp;
2209,Albert H. Jackson dba Green Mountain Services,Albert H. Jackson,PO Box 255,Hartford,VT,8023563214,2025,S,No,&nbsp;
642,"All Metals Recycling, Inc.",Rachel Towns,PO Box 497,Hardwick,VT,8024725100,2025,SR,No,&nbsp;
798,All Seasons Excavating &amp; Landscaping Inc,Robby Mazza,PO Box 96,Colchester,VT,8026553976,2025,S,No,&nbsp;
1105,"Allard&#39;s Portable Toilets, LLC",Tyler Allard,386 Unity Stage Road,Charlestown,NH,6034773096,2025,R,No,&nbsp;
841,All-Clean Waste Services LLC,Eric Davis,PO Box 209,Northfield,VT,8024854210,2025,S,No,&nbsp;
2745,"Allens Affordable Roll-Off, Inc.",Tracy Miner,34 A East Main Street,Millers Falls,MA,4137747774,2025,S,No,&nbsp;
787,All-Out Waste Management LLC,BJ Mazzola,2941 VT Route 7A,Shaftsbury,VT,8024425064,2025,R,No,&nbsp;
2139,"Allstate O.R.C., Inc.",STEVEN WARDEN,473 HAMBURG TURNPIKE,West Milford,NJ,9736963122,2025,HS,No,&nbsp;
824,"Alva Waste Services, LLC",Matthew Priestley,1050 Charlestown Rd,Springfield,VT,8028852994,2025,S,Yes,&nbsp;
1090,"American Environmental, Inc.",Layla H Bermejo- Verdugo,18 Canal Street,Holyoke,MA,413-322-7190,2025,S,No,&nbsp;
663,"American Retroworks, Inc. dba Good Point Recycling",Robin Ingenthron,Box 1010,Middlebury,VT,8023828500,2025,SH,No,&nbsp;
2657,Angela Walton,ANGELA A WALTON,PO Box 1074,Derby,VT,6033122587,2025,S,No,&nbsp;
906,"Approved Storage &amp; Waste Hauling NE, Inc.",Charles Dippolito Jr.,110 Edison Avenue,Mt. Vernon,NY,888-388-2525,2025,HSM,No,&nbsp;
241,"Arcwood Transport, LLC",Paula Monske,1626 Research Way,Indianapolis,IN,3305071823,2025,HSM,No,&nbsp;
193,"Arcwood Transport-Niagara, LLC",Susan Abraham,1717 New Rd.,Niagara Falls,NY,7162842199,2025,HS,No,&nbsp;
1028,Arlin Goodwin dba Goodwin&#39;s Trucking,Arlin Goodwin,88 Kelsey Mountain Road,Randolph Center,VT,8022912732,2025,S,No,&nbsp;
703,"Associated Building Wreckers, Inc.",Jennifer Jodoin/Andrew Mirkin,352 Albany Street,Springfield,MA,4137323179,2025,S,No,&nbsp;
754,"B &amp; D Associates, Inc.",Kevin Fischer,PO Box 598,Concord,NH,6032241157,2025,HSM,No,&nbsp;
1052,"B.K. Services, LLC",Bradley Thomas Keith,165 Hardway Lane,Florence,VT,802-779-2950,2025,S,No,&nbsp;
1030,"Baker Commodities, Inc.",Shawn Ordway,PO Box 132,North Billerica,MA,9786547724,2025,S,No,&nbsp;
2684,"Bannister Roofing/Siding, Inc. DBA BCE Containers",Kevin Bannister,91 Morse Drive,Fairfax,VT,8028627850,2025,S,No,&nbsp;
897,"Barkus Excavating, LLC",Cindy Bartosewcz,1549 King Hill Road,Readsboro,VT,802-423-7004,2025,S,No,&nbsp;
47,"Barre Septic Service, LLC",Lindsi Hull,PO Box 246,Graniteville,VT,8024767980,2025,R,No,&nbsp;
959,"Barrett Trucking Co., Inc.",Joseph Barrett,16 Austin Drive,Burlington,VT,8028631311,2025,RSM,No,&nbsp;
967,"Bazin Brothers Trucking, Inc.",Meagan Day,2425 Back Westminster Road,Westminster,VT,802-463-2077,2025,HS,No,&nbsp;
809,"BDS Tire Recycling, Inc.",Accounts Payable,PO Box 319,Fairfield,ME,207-278-3833,2025,S,No,&nbsp;
50,"Bear Dog Enterprises, LLC",James Danyow,1050 Route 7 South,Middlebury,VT,8023882652,2025,RS,No,&nbsp;
51,"Beattie Enterprises, Inc.",Shane M. Beattie,PO Box 26,Lancaster,NH,6037884035,2025,RS,No,&nbsp;
512,Bed Rock Inc (dba Tri-State Motor Transit Co),Sharon Bell / Donnie Lester,8141 E 7TH STREET,Joplin,MO,4176212658,2025,H,No,&nbsp;
2672,"Belden Construction, LLC",Ken Lougee,15 Belden Road,Rutland,VT,8027739004,2025,HSR,No,&nbsp;
2424,Bergeron Septic LLC dba McKenzie Septic,Tina Bergeron,21 Grissom Lane,Claremont,NH,6035425085,2025,R,No,&nbsp;
847,"Best Septic Service, LLC",Lisa Ruggiero,"5983 US Route 5, Suite A",Westminster,VT,8024639444,2025,R,No,&nbsp;
2527,"Bio-Med Innovations, LLC dba New England MedWaste","Matthew Nekoroski, CEO","30 Log Bridge Road, Bldg 100 Ste 108",Middleton,MA,8006114930,2025,&nbsp;,No,&nbsp;
765,"Bionomics, Inc.","Leyla Coleman, Admin. Asst.",PO Box 817,Kingston,TN,8652208501,2025,H,No,&nbsp;
2118,"BioYork, LLC",Joel Sofer,"1444 E. Lackawanna Ave., Ste. 216",Olyphant,PA,5704162700,2025,MS,Unknown,&nbsp;
2411,Black Bear Biodiesel LLC,James Malloy,45 Cutler Heights,East Montpelier,VT,8029992380,2025,S,Yes,&nbsp;
993,"Black Dirt Farm, LLC",Tom Gilbert,393 Stannard Mountain Road,Greensboro Bend,VT,8025337033,2025,S,Yes,&nbsp;
2677,Black Dog Septic LLC,Kyle Lizotte,707 Calavant Hill Road,Charlestown,NH,6034771866,2025,R,No,&nbsp;
61,"Blair&#39;s Trucking, Inc.",Dora Roberts-Wing,PO Box 444,Alburgh,VT,8027963282,2025,S,No,&nbsp;
2386,"Blanc &amp; Bailey Construction, Inc.",Kathi Dixey,18 Depot Street,Charlestown,NH,6038264626,2025,S,No,&nbsp;
2410,Blanchard Contracting Ltd Co,Rebekah &quot;Bekki&quot; Potter,1255 US RT 5 N,Windsor,VT,8026742047,2025,HS,No,&nbsp;
2562,BMG Trash Removal &amp; Recycling LLC,Heath Fitzpatrick,646 Fitts Rd,Wardsboro,VT,8023808183,2025,S,No,&nbsp;
991,Bob Fredette dba Bob Fredette Trucking &amp; Odd Jobs,Bob Fredette,"PO Box 1771, Station A",Rutland,VT,8026830154,2025,S,Unknown,&nbsp;
902,"Bolduc Auto Salvage, Inc., dba Bolduc Metal Recycling",James Bolduc,239 Bolduc Road,Middlesex,VT,8022237917,2025,S,No,&nbsp;
675,Bolens Septic &amp; Portable Toilets LLC,Jonathan Bolens,33 Brown Brook Road,Stewartstown,NH,603-246-7718,2025,R,No,&nbsp;
64,"Bostley Sanitary Service, Inc.",Amberlyn Beausoliel,268 E. Colrain Road,Colrain,MA,4137726531,2025,R,No,&nbsp;
1086,"Boston Green Fuel Co., Inc.",Brenda Dennison,102 Charles Eldridge Drive,Lakeville,MA,8883382657,2025,SH,No,&nbsp;
67,Boudreault Septic LLC,John Boudreault Jr.,3255 Dartmouth College Hwy,North Haverhill,NH,6033590930,2025,R,No,&nbsp;
2792,Boulder Excavation LLC,Joel Bryan,PO Box 1044,Stowe,VT,8027304649,2025,S,&nbsp;,&nbsp;
2296,"BP Wastewater Services, LLC","Benjamin Pratt, Owner",557 Riverside Ave,Burlington,VT,8028291556,2025,SR,No,&nbsp;
2739,"Bradshaw Enterprises, Inc.",Chad/Kathleen Bradshaw,99 Fields Lane,Jericho,VT,8027343180,2025,S,No,&nbsp;
2439,Breezy Hill Transport LLC,Kyle Dalpe,507 Breezy Hill Road,Barton,VT,8025259036,2025,RS,No,&nbsp;
983,Brenda Kimball,Brenda Kimball,930 Quaker Village Road,Weybridge,VT,8025452891,2025,S,No,&nbsp;
2509,Brett Frazier dba Rutland Moving and Storage,Brett Frazier,238 VT Rte. 7B,North Clarendon,VT,18023422000,2025,S,No,&nbsp;
70,Brian A. Rumrill dba Brian&#39;s ACME Service,Brian Rumrill,323 Airport Road,Perkinsville,VT,8022639315,2025,S,Unknown,&nbsp;
2743,Brian Burke DBA Same Day Response,Brian Burke,PO Box 113,Bridgewater,VT,9785056087,2025,S,No,&nbsp;
777,"Brian Perry &amp; Sons Construction, Inc.",Tiffany Perry,PO Box 1158,Hardwick,VT,802-472-6080,2025,S,No,&nbsp;
793,Brian Riff dba C.D.S. Portable Toilets,Brian Riff,PO Box 324,Colebrook,NH,6039228310,2025,R,No,&nbsp;
771,Brian W. Ricker,Brian W. Ricker,PO Box 13,Post Mills,VT,8023334617,2025,S,No,&nbsp;
1023,Brighter Horizons Environmental Corporation,John Nelson,201 West Main Street,Ayer,MA,9789700500,2025,S,No,&nbsp;
2453,BRONZE Contracting LLC,Thomas Bronson,9188 State Route 12,Remsen,NY,3153687353,2025,S,No,&nbsp;
75,"BTF, Inc., dba Bundy&#39;s Sewer &amp; Drain Service",Brad / Deanna Fischer,PO Box 77,Jericho,VT,8028994099,2025,R,No,&nbsp;
1080,Burnett Scrap Metals LLC,Christopher Burnett,8855 Rte 116,Hinesburg,VT,8024826075,2025,S,No,&nbsp;
78,"Burrell Roofing Co., Inc.",Tait Sutton,PO Box 206,Williamstown,VT,8024335353,2025,S,No,&nbsp;
2422,C&amp;D Septic Services Limited Liability Company,Candy or Dale Hammond,73 Cross Road,Lebanon,NH,6033816196,2025,R,No,&nbsp;
2644,Cadence Premier Cargo Inc.,Ray Leon,2250 S CHICAGO ST (UNIT B),JOLIET,IL,7088089850,2025,&nbsp;,No,&nbsp;
86,"Calkins Excavating, Inc.",Dana Calkins,PO Box 370,Danville,VT,8026843329,2025,S,No,&nbsp;
1024,Casella Construction Inc,Mackenzie Mahoney,1385 US Route 7,PITTSFORD,VT,8023457630,2025,S,No,&nbsp;
2308,"Casella Waste Management of Massachusetts, Inc.",TRACY MARKHAM,165 Barefoot Road,Southbridge,MA,7743641940,2025,RSM,Yes,&nbsp;
2361,"Casella Waste Management of N.Y., Inc.",Shannon Schaefer,5 Wall Street,Clifton Park,NY,5189372350,2025,S,Yes,&nbsp;
89,"Casella Waste Management, Inc.",Michelle Brewington,25 Greens Hill Lane,Rutland,VT,8024782699,2025,RS,Yes,&nbsp;
607,"Castleton, Town of",Heath Goyette,263 Route 30N,Bomoseen,VT,802-468-3005,2025,S,No,&nbsp;
90,"Catamount Environmental, Inc.",Chrissy Yanke Cooney,PO Box 160,Wilmington,VT,8024642754,2025,S,Yes,&nbsp;
701,Central Vermont Solid Waste Management District,Theron Lay-Sleeper,137 Barre Street,Montpelier,VT,8022729499,2025,HS,No,&nbsp;
2206,"Ceres Environmental Services, Inc.",Tia Laurie,"6371 Business Blvd., Suite 100",Sarasota,FL,8133338254,2025,S,No,&nbsp;
2514,Chad Cutting dba Reed &amp; Sons Rubbish,Chad Cutting,188 Sweet Pond Road,Guilford,VT,8022571211,2025,S,No,&nbsp;
2340,"Chad&#39;s Disposal, LLC",Chad Chase,18 Jorgensen Ln,BARRE,VT,8027930885,2025,S,No,&nbsp;
789,"Charles C. Haff Jr., dba Royal Flush Sanitation","Charles C. Haff, Jr.",PO Box 81,Lower Waterford,VT,8022745631,2025,R,No,&nbsp;
280,"Charles S. Johnson Sr., dba Johnson&#39;s Refuse",Charles S. Johnson Sr.,PO BOX 241,N. Clarendon,VT,8027756054,2025,S,No,&nbsp;
2625,Chayer&#39;s Rubbish Removal LLC,Zachary Chayer,P.O. Box 7,Orleans,VT,8026733376,2025,S,No,&nbsp;
2779,"Chemviron Midwest, Inc.",Mark Steiner,2461 Bauman Rd,Wooster,OH,3302642000,2025,S,No,&nbsp;
102,Chittenden Solid Waste District,Brian Mital,19 Gregory Drive,South Burlington,VT,8022330670,2025,HS,No,&nbsp;
2619,Chris Allen DBA Allen Rubbish Removal,Chris Allen,PO Box 727,Barton,VT,8027457975,2025,S,No,&nbsp;
2291,Chris Pratt dba Chris Pratt Construction,Chris Pratt,PO Box 291,Jeffersonville,VT,8023241199,2025,S,No,&nbsp;
103,Church Septic LLC,Richard Church,82 Transport Drive,Bennington,VT,8024426919,2025,R,No,&nbsp;
2220,"Citiwaste, LLC",Jason Folker,893 Shepherd Ave,Brooklyn,NY,717-951-2901,2025,HM,No,&nbsp;
107,"Clean Harbors Environmental Services, Inc.","Colleen Costello, TC Senior Manager",Norwell,Norwell,MA,7817975760,2025,HRSM,No,&nbsp;
110,Clifton J. Inman dba Cliff&#39;s Rubbish Removal,Clifton J. Inman,PO Box 13,West Halifax,VT,8023682712,2025,S,Unknown,&nbsp;
2613,Cobrita Trucking Inc,Wilder Munoz,1627 North Shore Road,Revere,MA,7818700472,2025,SR,No,&nbsp;
670,Complete Recycling Solutions LLC,Olivia Stevens,1075 Airport Road,Fall River,MA,6036604240,2025,HS,No,&nbsp;
676,"Complete Septic Services, LLC",Kim M. Littlefield / John Littlefield,789 School Street,Isle LaMotte,VT,8029283572,2025,R,No,&nbsp;
119,Cota Trucking Company,David &amp; Laurie Cota,6 Curtis Avenue,Essex Junction,VT,8028782668,2025,S,No,&nbsp;
1077,"County Waste and Recycling Service, Inc. (also dba Ace Carting Corp)",Camilla Powell,PO box 790,Clifton Park,NY,5188772344,2025,S,No,&nbsp;
2513,"CRM Co., LLC",Jason Bendieramonte,1414 Norwich Road,Plainfield,CT,8605648811,2025,S,No,&nbsp;
2271,Crown Point Excavation LLC,Marsha Dawkins,PO Box 656,Chester,VT,8028854979,2025,S,No,&nbsp;
610,"Crystal Clean, LLC DBA Crystal Clean Environmental",Ivona Zyla,2000 Center Drive suite East C300,Hoffman Estates,IL,8478445579,2025,HS,No,&nbsp;
2345,Crystal Lumbra and Joanne Litchfield,Crystal Lumbra,PO Box 314,Randolph,VT,8022342118,2025,S,No,&nbsp;
2732,CT Stoneworks and Excavating LLC,Cody Thompson,865 West Hill Rd,Craftsbury,VT,8022791181,2025,S,No,&nbsp;
2497,Curb Resource Collection LLC,Kristen Lyga,21 Butternut Court,Essex,VT,8024712872,2025,S,No,&nbsp;
122,Cyn Oil Corporation,Colleen Costello,42 Longwater Dr.,Norwell,MA,781-792-5777,2025,HS,No,&nbsp;
1016,D &amp; P Hawk North Management LLC,Patricia Harvey,106 Vt Rte 107,Stockbridge,VT,8027468911,2025,S,Yes,&nbsp;
921,"D&amp;C Transportation, Inc.",Scott Oeschger/Nick Rossi,32 Railroad Avenue,Orleans,VT,8027546664,2025,HS,No,&nbsp;
2216,"D.H. Cameron Construction Company, Inc. (Grab It and Go)","Don Cameron, President",7056 B US Route 7,No. Ferrisburgh,VT,8024253782,2025,S,No,&nbsp;
126,Dana H. Sweet Trucking Inc.,Jennifer Sweet/Dana Sweet,PO Box 188,Cambridge,VT,8026445470,2025,S,No,&nbsp;
2603,Daniel LeCour dba 302 Waste Services,Daniel LeCour,P.O. Box 137,South Ryegate,VT,8025843287,2025,S,No,&nbsp;
1110,Daniel Pepin dba Dan Pepin Excavating and Trucking,"Holly Pepin, Office Mgr.",4650 VT Rte 100,Newport,VT,8027448227,2025,SR,No,&nbsp;
2693,"Daniels Sharpsmart, Inc. DBA Daniels",David Tran,111 W. Jackson Blvd.,Chicago,IL,9452481784,2025,S,No,&nbsp;
2712,Darren Pion DBA D Pion Transport,Katherine Pion,P.O. Box 142,Lowell,VT,8026732877,2025,SR,No,&nbsp;
2686,Darryl Bouchard DBA The Trash Guy,Darryl Bouchard,PO Box 1609,Lyndonville,VT,8022745695,2025,S,No,&nbsp;
128,"Dart Trucking Company, Inc.",Wendy Hoffman,PO Box 157,North Lima,OH,3305490994,2025,HS,No,&nbsp;
2533,Dave Sabatini,Dave Sabatini,267 Fay Rd,Goshen,VT,8022476350,2025,&nbsp;,No,&nbsp;
2443,"David Bedor Jr., dba Bedor&#39;s Logging and Portable Toilets",David Bedor,PO Box 246,St. Johnsbury Center,VT,8027938186,2025,R,No,&nbsp;
207,David Giroux dba Dave&#39;s Rubbish Removal,David Giroux,PO Box 132,Newport,VT,802-922-2339,2025,S,No,&nbsp;
866,"DECAMP WASTE SERVICES, LLC",TRAVIS A DECAMP,PO BOX 1,Newport,NH,6035428050,2025,S,Yes,&nbsp;
1067,"Delmolino &amp; Sons, Inc.",Kyle J. Delmolino,PO Box T,Cheshire,MA,4137435397,2025,SR,Yes,&nbsp;
2626,Derrick Root DBA D-Rock Services,Derrick Root,359 Parker Rd,Pittsford,VT,8027795637,2025,&nbsp;,No,&nbsp;
134,"Derrig Excavating, Inc.",Ellis Derrig Jr.,30 Houghton Brook Road,Putney,VT,8023875479,2025,S,No,&nbsp;
2540,"Diversified Brokerage &amp; Logistics of NE, LLC",Chrystal Nolet,4 Windham Depot Rd box #7,Derry,NH,6034258229,2025,R,No,&nbsp;
143,Donald D. Dorr Septic Service Inc.,Debra Salo,209 Riverside Heights,Manchester Center,VT,8023622344,2025,R,No,&nbsp;
667,"Donald Giroux&#39;s Trucking, LLC",DONALD GIROUX,P O BOX 79,East Barre,VT,8028390064,2025,S,Unknown,&nbsp;
142,"Doran Bros., Inc.",Daniel Doran,634 West St,Fair Haven,VT,8022654724,2025,R,No,&nbsp;
2627,"Dorset Farm, LLC DBA Dorset Compost",Michael Flett,4343 Route 30,Dorset,VT,2017047759,2025,&nbsp;,Yes,&nbsp;
960,"Double Green Circle, Inc.",Jonathan Donadio,61 Shaker Court,Guilford,CT,2039807675,2025,SR,No,&nbsp;
2674,Double R Bedard Hauling LLC,Zachary Bedard,470 Cormier Road,Danville,VT,8025357180,2025,S,No,&nbsp;
2223,Douglas J. Dano dba D4 Rubbish Removal,Douglas J. Dano,65 Brooklyn Street,Groveton,NH,6032372056,2025,S,No,&nbsp;
2621,DR Property Maintenance &amp; Lawn Care Inc,Derek Richardson,PO BOX 492,Hardwick,VT,8027937388,2025,S,No,&nbsp;
40,"DR Robinson, LLC dba B&amp;B Septic",Donna Robinson,2702 Crepeault Hill Road,St. Johnsbury,VT,8027489858,2025,R,No,&nbsp;
2787,Dregs LLC,Mark Wrightson,PO Box 93,Chittenden,VT,8025584532,2025,S,No,&nbsp;
2629,DT Rentals LLC,Lauren Tarricone,416 Red Barn Road,Danville,VT,802-274-6448,2025,S,No,&nbsp;
148,Duffy&#39;s Waste &amp; Recycling Inc.,CATHERINE DUFFY,PO Box 264,Fairfax,VT,8028492309,2025,S,Yes,&nbsp;
2583,Dumpsters R US Inc.,David Brownsberger,58 Lowell Junction Road,Andover,MA,9784092111,2025,S,Yes,&nbsp;
151,Dundon Plumbing &amp; Heating Inc.,Christopher J. Dundon,P.O. Box 100,Orwell,VT,8029482082,2025,R,No,&nbsp;
2145,Dustin Glidden dba Abbott Septic Service,Shannon or Dustin Glidden,372 River Road,Charlestown,NH,6038260337,2025,R,No,&nbsp;
747,"E.E. Packard Enterprises, Inc.",Sherry Needle,PO Box 70,East Montpelier,VT,8022623835,2025,RS,No,&nbsp;
910,East Coast Rubbish Removal LLC,George Foster,2442 North Grove St,Rutland,VT,8023531460,2025,S,Yes,&nbsp;
2158,Edward C. Balch,"Edward C. Balch, Proprietor",PO Box 1501,Castleton,VT,8022363968,2025,S,Unknown,&nbsp;
814,"Eilers Bros. Trucking &amp; Excavating, Inc.",Rhonda Smith,PO Box 216,Readsboro,VT,8024235413,2025,S,No,&nbsp;
2447,"Eldredge, Inc., dba Eldredge of Pennsylvania",Gregory Mead,898 Fern Hill Road,West Chester,PA,6104364749,2025,HS,No,&nbsp;
2544,Elite Car Company LLC,Brian Aubuchon,382 Glen Road,Newport,VT,8023458177,2025,S,No,&nbsp;
2655,"Ellohi LLC., DBA Collective Compost",Jonah Kasper,128 UPPER PASTURE ROAD,Norwich,VT,8022910405,2025,S,No,&nbsp;
741,Empire Septic Service LLC,Roger Gauthier Jr.,64 Dick Hill Road,Granville,NY,5186325297,2025,R,No,&nbsp;
2747,ENCON Environmental Services LLC,Mike Fregeau,1368 Hooksett Rd,Hooksett,NH,6036456549,2025,HS,No,&nbsp;
2770,"Engineers Construction, Inc.",Ken Ferno,98 Engineers Drive,Williston,VT,8025562003,2025,S,No,&nbsp;
168,Environmental Hazards Management Inc,Kenneth Morton Jr.,PO Box 785,Williston,VT,8028624537,2025,S,Yes,&nbsp;
892,"Environmental Maintenance Services, Inc. d/b/a BioServ",Rick Ragaini,10 Gramar Avenue,Prospect,CT,2037585550,2025,HSM,No,&nbsp;
2414,Environmental Restoration LLC,Robert Perkins,1666 Fabick Dr,Fenton,MO,8888147477,2025,HS,No,&nbsp;
171,Environmental Services Inc,William Mitchell,90 Brookfield Street,South Windsor,CT,8004867745,2025,HSRM,No,&nbsp;
2263,"ENVIROSERVE, INC. (formerly Sunpro)",Larry Steigerwald,4600 Brookpark Road,Cleveland,OH,3309660910,2025,HSR,No,&nbsp;
194,"EQ Northeast, Inc. (dba US Ecology)",Wanda Tobey,185 Industrial Road,Wrentham,MA,5088031237,2025,HS,No,&nbsp;
915,Everett A. Russell III dba E. A. Russell Trucking,Everett A. Russell III,478 Merrimack Street,Methuen,MA,9788156299,2025,S,No,&nbsp;
2149,"Everett P. Huntley Sr., dba P H Trucking &amp; Rubbish Removal",Everett P. Huntley Sr.,116 Sesame Street,Braintree,VT,8022821820,2025,S,No,&nbsp;
2564,"EVERGREEN SERVICES, INC.",Carl Bailin,PO Box 849,Stowe,VT,8027931443,2025,SR,No,&nbsp;
2580,Express Roll-Off LLC,Bernard Avery,731 vt rte 14 South,East montpelier,VT,8029172104,2025,S,No,&nbsp;
746,EZ Container Service Inc,Michael Tetrault,1 Towne Market Place,Essex JCT,VT,8028781255,2025,S,No,&nbsp;
